left_border_x,left_border_y,right_border_x,right_border_y,pos_x,pos_y
-763.3538894569997,-2.2448677745549728,-763.281574662155,-15.68317074750012,-763.3397216796875,-4.877674579620361
-761.8106742175635,-2.2353960498555145,-761.7412176750042,-15.673131158567212,-761.7970581054688,-4.869700908660889
-760.2772209641438,-2.2260186628931296,-760.2103327969822,-15.663204841934782,-760.2640991210938,-4.862070083618164
-758.7577650251725,-2.2169616648144683,-758.6933403752427,-15.65332683693019,-758.7451171875,-4.8547868728637695
-757.2545623363184,-2.207517161188486,-757.1925207533609,-15.643698042974258,-757.2423706054688,-4.847847938537598
-755.7651905547654,-2.1986333962723,-755.7056476774111,-15.633998739737875,-755.7534790039062,-4.841249465942383
-754.285614321444,-2.18984948566473,-754.2287280872561,-15.624529436432008,-754.2744140625,-4.834986686706543
-752.8100652139562,-2.181158885627744,-752.7561516246376,-15.615032120121038,-752.7994384765625,-4.829067230224609
-751.3342789350006,-2.1725740662449673,-751.2836091716567,-15.60591036866929,-751.3242797851562,-4.823503017425537
-749.8551395405972,-2.1634587125272264,-749.80801037279,-15.596631949278002,-749.8458251953125,-4.8183159828186035
-748.3708145539872,-2.1551127316079084,-748.3275079993274,-15.587423596628216,-748.3622436523438,-4.813532829284668
-746.8822424675255,-2.1466705370537436,-746.8429342110074,-15.578582900772163,-746.8744506835938,-4.809178829193115
-745.3905251725847,-2.1378558414280664,-745.3553765160233,-15.569505551760017,-745.383544921875,-4.805277347564697
-743.8980053800881,-2.129610246743937,-743.8670459074204,-15.560637501681429,-743.891845703125,-4.8018388748168945
-742.4063963153775,-2.121526071669624,-742.379637864398,-15.551871414836251,-742.4010620117188,-4.798868656158447
-740.9179072939703,-2.1135947570062563,-740.8952994179417,-15.5434651684799,-740.9133911132812,-4.7963643074035645
-739.4339541506081,-2.105384535166758,-739.4153881338761,-15.53509114988544,-739.4302368164062,-4.794313907623291
-737.9555099656359,-2.097687888134973,-737.9408887716895,-15.526652172764873,-737.9525756835938,-4.792705059051514
-736.4830072962905,-2.090137639882341,-736.4722088008394,-15.518488753441602,-736.4808349609375,-4.7915215492248535
-735.0163780364257,-2.082693951432165,-735.0093149818208,-15.510692067165094,-735.0149536132812,-4.790750503540039
-733.5547747013826,-2.0749000014744063,-733.5513253508142,-15.502735261334886,-733.5540771484375,-4.790375232696533
-732.0968583382834,-2.067673921588727,-732.0968803070728,-15.494997978196121,-732.0968627929688,-4.790377616882324
-730.641109165689,-2.060527408242116,-730.64443125931,-15.48759380024829,-730.6417846679688,-4.790737628936768
-729.1859570443801,-2.0534430246572746,-729.1923261922535,-15.480011691072471,-729.187255859375,-4.7914276123046875
-727.7301917744672,-2.0458320743167295,-727.7393032772093,-15.47232429633187,-727.7320556640625,-4.792415142059326
-723.2592132788096,-2.0241527384232665,-723.2748866375601,-15.449473751562222,-723.262451171875,-4.797633171081543
-721.7322497306048,-2.016166343760087,-721.7548603531319,-15.44167249233222,-721.7369384765625,-4.800202369689941
-720.2039201060828,-2.0087929100120543,-720.2305961126013,-15.434087271202522,-720.20947265625,-4.803237438201904
-718.6741543831486,-2.0011689703510096,-718.7023863077438,-15.426187875157513,-718.6800537109375,-4.806453704833984
-717.1427606671255,-1.9930179108197454,-717.1698199693224,-15.418310551255352,-717.1484375,-4.809540748596191
-715.6087430688568,-1.9852192593367803,-715.6357979177028,-15.41050046463255,-715.6144409179688,-4.812632083892822
-714.0723341798257,-1.9776760925907193,-714.0991500801949,-15.402892450471965,-714.0780029296875,-4.815701007843018
-712.5349589425923,-1.969857060865876,-712.5603379505824,-15.395019229798555,-712.5403442382812,-4.818607807159424
-710.9954917805916,-1.961406403223616,-711.0172303941487,-15.38730714482633,-711.0001220703125,-4.821101665496826
-709.4534988903171,-1.9535804886559123,-709.4720249246772,-15.379975282954788,-709.4574584960938,-4.823230266571045
-707.9095981611651,-1.9459374642257714,-707.9233024221548,-15.372284163272077,-707.9125366210938,-4.824807167053223
-706.3634917107165,-1.93766160348803,-706.3741461735381,-15.364503403600152,-706.3657836914062,-4.8260345458984375
-704.8156907361958,-1.9300070345105427,-704.8238162532157,-15.357182005112888,-704.8174438476562,-4.826971530914307
-703.2649216932679,-1.92202724706463,-703.2777578700991,-15.3491887655016,-703.2677001953125,-4.828453063964844
-701.711700594631,-1.913040589525766,-701.7295389124913,-15.341449046559019,-701.715576171875,-4.830514907836914
-700.1558782972616,-1.904785121804586,-700.1774569325069,-15.334009919187082,-700.1605834960938,-4.833013534545898
-698.5975743156989,-1.896047533390317,-698.6255482763752,-15.325786245795772,-698.6036987304688,-4.836256504058838
-697.037766753182,-1.8878770670936982,-697.0689289439666,-15.3172821256811,-697.0446166992188,-4.839874267578125
-695.4765916117752,-1.8794358280255379,-695.5107469467994,-15.309200296590271,-695.484130859375,-4.84384298324585
-693.9135143375036,-1.8702304587392895,-693.9503946589241,-15.300405669849235,-693.9216918945312,-4.848133563995361
-692.3490239970428,-1.861283169828205,-692.3867291278709,-15.291482316765574,-692.357421875,-4.852525234222412
-690.7825384367709,-1.8520139298635039,-690.8201562846322,-15.28306972445855,-690.7909545898438,-4.856912612915039
-689.2134164523761,-1.8428196924276468,-689.2515415564485,-15.27382851858293,-689.2219848632812,-4.861366271972656
-687.6436190685408,-1.8329097582903229,-687.6811773547217,-15.264660235610533,-687.652099609375,-4.865756034851074
-686.0723133334701,-1.8234892631293573,-686.1052077844915,-15.255863994236098,-686.0797729492188,-4.8696064949035645
-684.4994283758273,-1.8138183462455584,-684.5287383300711,-15.246593576625266,-684.506103515625,-4.873040199279785
-682.9249709665394,-1.8035598682861775,-682.9482639055075,-15.237463634312538,-682.9302978515625,-4.875772476196289
-681.3489679295276,-1.793581551296112,-681.3650565362669,-15.228680818271345,-681.3526611328125,-4.87766170501709
-679.770667962932,-1.7835907354748701,-679.7776567942225,-15.219270260865013,-679.7722778320312,-4.878483772277832
-678.1911077647275,-1.7732482454305507,-678.1887016847575,-15.209706140810303,-678.1905517578125,-4.878200531005859
-676.6101559455344,-1.7631422834068857,-676.5975660449653,-15.200657604785789,-676.6072387695312,-4.8767170906066895
-675.0272739863126,-1.7524669602947252,-675.0055030527199,-15.191144756382492,-675.022216796875,-4.874149322509766
-673.4415467862058,-1.7421422397336195,-673.4142018202291,-15.18145811124367,-673.4351806640625,-4.870920181274414
-671.854117935926,-1.7316371477319703,-671.8219714678612,-15.172217458110385,-671.8466186523438,-4.867120742797852
-670.2644208132173,-1.7207064442939708,-670.2277950270283,-15.16250696981674,-670.255859375,-4.862786293029785
-668.672913380723,-1.7102077887183973,-668.634337085293,-15.152619411022608,-668.6638793945312,-4.858217716217041
-667.1732994644174,-1.7001326349473111,-667.1321001747317,-15.143697577947217,-667.1636352539062,-4.8536200523376465
-665.6721410267686,-1.6896308101379787,-665.62866929845,-15.134198781736178,-665.6619262695312,-4.848764419555664
